Player Name,Position,Team,Year Born,Minutes,Ninty Minutes,Goals,Assists,xG,npxG,xA,SoT Percentage,Shots,Shots On Target,Key Passes,Final Third Passes,Progressive Passes,Tackles,Tackles Won,Dribbled Past,Pressures,Pressures Success,Blocks,Interceptions,Clearances,Touches Penalty Area,Dribbles Success,Dribbles,Carries Progressive,Carries Final Third,Dispossessed,Receiving Progressive,Fouls Committed,Fouls Drawn,Recoveries,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won Percent,Aerial Duels Total
dele alli,MF,Everton,1996,272.0,3.0,0.0,0.0,0.03,0.03,0.09,0.0,0.33,0.0,2.0,3.0,3.6666666666666665,4.666666666666667,3.0,2.3333333333333335,35.333333333333336,9.333333333333334,2.0,2.3333333333333335,2.3333333333333335,5.0,1.3333333333333333,2.6666666666666665,4.0,2.0,3.3333333333333335,7.0,3.3333333333333335,2.3333333333333335,11.333333333333334,2.6666666666666665,2.6666666666666665,50.0,5.333333333333333
dele alli,"MF,FW",Tottenham,1996,657.0,7.3,0.14,0.0,0.2,0.1,0.11,50.0,0.07534246575342467,0.036986301369863014,0.273972602739726,1.7808219178082192,2.6027397260273974,2.6027397260273974,0.9589041095890412,1.6438356164383563,28.63013698630137,7.534246575342466,3.4246575342465753,2.328767123287671,1.6438356164383563,2.73972602739726,0.684931506849315,2.4657534246575343,2.328767123287671,0.8219178082191781,2.4657534246575343,4.2465753424657535,1.7808219178082192,2.0547945205479454,6.301369863013699,1.5068493150684932,1.7808219178082192,45.8,3.287671232876712
miguel almirÃ³n,"MF,FW",Newcastle Utd,1994,1628.0,18.1,0.06,0.0,0.11,0.11,0.04,22.6,0.09447513812154695,0.02154696132596685,0.8839779005524862,1.1049723756906076,1.7679558011049723,3.1491712707182318,1.8232044198895025,1.878453038674033,22.817679558011047,5.69060773480663,1.160220994475138,1.2707182320441988,0.6077348066298343,2.983425414364641,0.9392265193370165,1.9337016574585635,3.9779005524861875,0.9944751381215469,1.8232044198895025,3.0939226519337013,1.1049723756906076,1.43646408839779,6.6298342541436455,0.2762430939226519,0.9392265193370165,22.7,1.2154696132596685
marcos alonso,DF,Chelsea,1990,2167.0,24.1,0.17,0.17,0.14,0.14,0.19,23.3,0.07427385892116183,0.01742738589211618,1.8257261410788381,2.821576763485477,4.439834024896265,1.867219917012448,1.1618257261410787,0.7468879668049793,12.448132780082986,3.5269709543568464,1.6182572614107882,2.7385892116182573,2.2821576763485476,3.1950207468879666,0.7883817427385892,1.6182572614107882,5.1037344398340245,1.2033195020746887,1.3278008298755186,4.564315352697095,1.3692946058091287,1.4107883817427385,8.962655601659751,2.4481327800829873,1.0788381742738589,69.4,3.5269709543568464
steven alzate,MF,Brighton,1998,404.0,4.5,0.0,0.0,0.02,0.02,0.04,100.0,0.04888888888888889,0.04888888888888889,0.6666666666666666,3.7777777777777777,3.7777777777777777,2.0,1.7777777777777777,0.4444444444444444,17.555555555555557,4.444444444444445,1.1111111111111112,3.111111111111111,2.2222222222222223,0.8888888888888888,1.1111111111111112,1.3333333333333333,4.444444444444445,1.7777777777777777,0.8888888888888888,1.5555555555555556,1.3333333333333333,1.7777777777777777,13.555555555555555,1.5555555555555556,2.6666666666666665,36.8,4.222222222222222
daniel amartey,DF,Leicester City,1994,2114.0,23.5,0.0,0.0,0.0,0.0,0.01,50.0,0.003829787234042553,0.001702127659574468,0.1276595744680851,2.25531914893617,2.425531914893617,1.0638297872340425,0.5106382978723404,0.6808510638297872,7.319148936170213,2.297872340425532,2.0425531914893615,1.2765957446808511,4.680851063829787,0.2553191489361702,0.2553191489361702,0.3404255319148936,2.5531914893617023,0.8085106382978723,0.0851063829787234,0.0425531914893617,0.723404255319149,0.3829787234042553,8.893617021276595,1.9148936170212767,1.6170212765957446,54.2,3.5319148936170213
joachim andersen,DF,Crystal Palace,1996,2826.0,31.4,0.0,0.1,0.02,0.02,0.06,37.5,0.007961783439490446,0.0031847133757961785,0.6369426751592357,4.904458598726115,2.8980891719745223,1.1146496815286624,0.7324840764331211,0.4140127388535032,4.80891719745223,1.7197452229299364,1.2420382165605095,1.910828025477707,4.840764331210191,1.0509554140127388,0.1910828025477707,0.25477707006369427,2.038216560509554,0.15923566878980894,0.25477707006369427,0.06369426751592357,0.6050955414012739,0.25477707006369427,8.821656050955415,2.643312101910828,1.3694267515923568,65.9,4.012738853503185
michail antonio,FW,West Ham,1990,2881.0,32.0,0.28,0.25,0.35,0.34,0.21,31.7,0.08,0.0253125,1.4375,0.75,1.25,0.78125,0.625,0.4375,13.8125,3.90625,0.78125,0.40625,0.53125,5.375,1.40625,2.875,4.0625,1.1875,2.6875,8.03125,1.5,1.90625,4.125,2.5,4.40625,36.2,6.90625
cameron archer,"MF,FW",Aston Villa,2001,27.0,0.3,0.0,0.0,0.07,0.07,0.0,0.0,11.100000000000001,0.0,0.0,0.0,10.0,0.0,0.0,0.0,13.333333333333334,0.0,0.0,3.3333333333333335,3.3333333333333335,10.0,3.3333333333333335,6.666666666666667,0.0,0.0,3.3333333333333335,6.666666666666667,10.0,0.0,6.666666666666667,3.3333333333333335,6.666666666666667,33.3,10.0
alphonse areola,GK,West Ham,1993,90.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0
